"","x"
"1","cg05706649"
"2","cg10708400"
"3","cg03575380"
"4","cg19303103"
"5","cg25278576"
"6","cg22665089"
"7","cg26930364"
"8","cg08846221"
"9","cg07104116"
"10","cg09070846"
"11","cg25428494"
"12","cg08462017"
"13","cg05250797"
"14","cg08994763"
"15","cg08632164"
"16","cg01050935"
"17","cg17571933"
"18","cg10609310"
"19","cg04722177"
"20","cg18867950"
"21","cg04237429"
"22","cg12748000"
"23","cg09921214"
"24","cg02924234"
"25","cg23259851"
"26","cg11781306"
"27","cg23437162"
"28","cg25420132"
"29","cg23382101"
"30","cg00350652"
"31","cg24696268"
"32","cg14927405"
"33","cg17741977"
"34","cg20469847"
"35","cg12558269"
"36","cg14663533"
"37","cg01357745"
"38","cg02429035"
"39","cg09448460"
"40","cg13766560"
"41","cg14820441"
"42","cg19128082"
"43","cg06999043"
"44","cg00455018"
"45","cg05712296"
"46","cg09012125"
"47","cg10952801"
"48","cg02780120"
"49","cg13203749"
"50","cg18301136"
"51","cg01391280"
"52","cg22979531"
"53","cg01954057"
"54","cg02986806"
"55","cg14861518"
"56","cg16470772"
"57","cg14114962"
"58","cg19337732"
"59","cg25316543"
"60","cg24800883"
"61","cg08157318"
"62","cg26879546"
"63","cg20268683"
"64","cg08089128"
"65","cg04835925"
"66","cg10260440"
"67","cg13275176"
"68","cg04522374"
"69","cg01758548"
"70","cg08646442"
"71","cg23712884"
"72","cg22972187"
"73","cg23055552"
"74","cg26585454"
"75","cg26296069"
"76","cg02904628"
"77","cg17065810"
"78","cg18964985"
"79","cg06320136"
"80","cg22889768"
"81","cg20824200"
"82","cg24593231"
"83","cg04813004"
"84","cg19892758"
"85","cg02424450"
"86","cg24702040"
"87","cg20412698"
"88","cg13654848"
"89","cg24377062"
"90","cg23319790"
"91","cg20725493"
"92","cg25032865"
"93","cg11732197"
"94","cg25945318"
"95","cg03909844"
"96","cg05457881"
"97","cg07067659"
"98","cg10278506"
"99","cg10631854"
"100","cg26394771"
"101","cg11496747"
"102","cg08918120"
"103","cg10029411"
"104","cg04200704"
"105","cg10069644"
"106","cg09444405"
"107","cg08913117"
"108","cg20879279"
"109","cg17284568"
"110","cg08069249"
"111","cg23411274"
"112","cg11662452"
"113","cg22238304"
"114","cg15986194"
"115","cg17989496"
"116","cg23647968"
"117","cg07485777"
"118","cg22192744"
"119","cg02360478"
"120","cg01858583"
"121","cg04529865"
"122","cg26655790"
"123","cg06455125"
"124","cg13431160"
"125","cg18255926"
"126","cg16964102"
"127","cg12699187"
"128","cg05891094"
"129","cg03229033"
"130","cg02351575"
"131","cg05364058"
"132","cg25935047"
"133","cg18765637"
"134","cg19464876"
"135","cg03606214"
"136","cg17801369"
"137","cg24923365"
"138","cg02023042"
"139","cg20559600"
"140","cg15277535"
"141","cg10295937"
"142","cg24413339"
"143","cg17035997"
"144","cg01514341"
"145","cg25257018"
"146","cg10662242"
"147","cg07167994"
"148","cg00805496"
"149","cg10049783"
"150","cg17079858"
"151","cg04329264"
"152","cg22659230"
"153","cg05444785"
"154","cg23785275"
"155","cg20823529"
"156","cg22899037"
"157","cg23563130"
"158","cg01517490"
"159","cg02144050"
"160","cg02634853"
"161","cg03017824"
"162","cg07124956"
"163","cg05184256"
"164","cg25929421"
"165","cg26935729"
"166","cg15634698"
"167","cg07253500"
"168","cg11978784"
"169","cg19745314"
"170","cg17800708"
"171","cg07060971"
"172","cg25292358"
"173","cg18392943"
"174","cg13922970"
"175","cg04123941"
"176","cg17830959"
"177","cg18902440"
"178","cg22156600"
"179","cg10015572"
"180","ch.13.233184R"
"181","cg10328513"
"182","cg22434333"
"183","cg09888183"
"184","cg11978435"
"185","cg27373063"
"186","cg12866401"
"187","cg01282712"
"188","cg06515418"
"189","cg14527034"
"190","cg05301034"
"191","cg01388301"
"192","cg15389519"
"193","cg19705564"
"194","cg01733459"
"195","cg16776717"
"196","cg00706648"
"197","cg11831116"
"198","cg09615915"
"199","cg17856063"
"200","cg17049705"
"201","cg16586749"
"202","cg09059181"
"203","cg09148486"
"204","cg15200796"
"205","cg08891115"
"206","cg14886405"
"207","cg07283849"
"208","cg17887793"
"209","cg27199522"
